# Copyright (c) Huawei Technologies Co., Ltd. 2026. All rights reserved.
# This source file is part of the Cangjie project, licensed under Apache-2.0
# with Runtime Library Exception.
# 
# See https://cangjie-lang.cn/pages/LICENSE for license information.

Children        Self    Symbol
========    ========    ========
 424.17%      10.52%    bottomUpTree(UInt32)
 225.18%      11.64%    itemCheck(default::Tree)
 132.59%       0.10%    Run::lambda.2()
  69.63%       0.00%    [libcangjie-runtime.so+0x112798]
  69.62%       0.00%    [libcangjie-runtime.so+0xd025c]
  69.12%       0.07%    Future<T>::execute()
  29.78%       0.00%    [libc-2.31.so+0xd162c]
  29.78%       0.00%    start_thread
  25.34%       0.00%    [libcangjie-runtime.so+0xfc39c]
  25.34%       0.00%    [libcangjie-runtime.so+0xfc554]
  25.34%       0.00%    [libcangjie-runtime.so+0xfc5f4]
  25.34%       0.00%    [libcangjie-runtime.so+0x102fbc]
  25.25%       0.00%    [libcangjie-runtime.so+0x10491c]
  24.73%       0.00%    [libcangjie-runtime.so+0x10ce40]
  19.28%       0.00%    [libcangjie-runtime.so+0x10c84c]
  13.83%       0.00%    [libcangjie-runtime.so+0xffc08]
  13.83%       0.00%    [libcangjie-runtime.so+0xff5c0]
  10.58%       0.00%    [libcangjie-runtime.so+0xff98c]
   8.30%       0.00%    [libcangjie-runtime.so+0xff93c]
   8.20%       0.02%    [libcangjie-runtime.so+0x10c0fc]
   7.30%       0.00%    [libcangjie-runtime.so+0xd5274]
   6.65%       0.00%    [libcangjie-runtime.so+0xdd2ac]
   6.31%       0.17%    [libcangjie-runtime.so+0x107e48]
   6.19%       0.00%    [libcangjie-runtime.so+0x10b724]
   6.18%       0.01%    [libcangjie-runtime.so+0xbe2d8]
   5.96%       0.11%    [libcangjie-runtime.so+0x10d5f0]
   5.45%       0.00%    [libcangjie-runtime.so+0xffc58]
   4.53%       0.00%    [libcangjie-runtime.so+0xd0518]
   4.52%       0.00%    [libcangjie-runtime.so+0xc1070]
   4.46%       0.00%    [libcangjie-runtime.so+0xdde18]
   4.44%       0.00%    [libcangjie-runtime.so+0x10c7d4]
   4.40%       0.00%    [libcangjie-runtime.so+0xf39a0]
   4.31%       0.00%    [libcangjie-runtime.so+0x1237c8]
   4.21%       0.00%    [libcangjie-runtime.so+0x1061dc]
   4.03%       0.00%    [libcangjie-runtime.so+0xf41cc]
   3.85%       0.00%    [libcangjie-runtime.so+0xf9864]
   3.49%       0.00%    [libcangjie-runtime.so+0xfff84]
   3.45%       0.00%    [libcangjie-runtime.so+0x12455c]
   3.43%       0.00%    [libcangjie-runtime.so+0xff670]
   2.59%       0.00%    Run::lambda.0()
   2.57%       2.57%    [libcangjie-runtime.so+0x107e30]
   2.54%       2.54%    [libcangjie-runtime.so+0x107dbc]
   2.51%       0.00%    [libcangjie-runtime.so+0xd5034]
   2.51%       0.00%    [libcangjie-runtime.so+0x101c2c]
   2.43%       0.00%    [libcangjie-runtime.so+0xf7dac]
   2.38%       0.01%    [libcangjie-runtime.so+0x106bd0]
   2.33%       0.18%    [libcangjie-runtime.so+0x107e20]
